No.,Time,Source,Destination,Protocol,Length,Info,source_file,predicted_label
1,0.0,185.188.41.131,192.168.1.192,TCP,60,64532  >  51195 [ACK] Seq=1 Ack=1 Win=68 Len=0,test_loic.csv,botnet_http
2,0.007722,185.188.41.131,192.168.1.192,TLSv1.2,312,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message",test_loic.csv,botnet_icmp
3,0.008846,185.188.41.131,192.168.1.192,TCP,60,64532  >  51199 [ACK] Seq=1 Ack=1 Win=68 Len=0,test_loic.csv,botnet_http
4,0.010763,185.188.41.131,192.168.1.192,TCP,60,64532  >  51199 [ACK] Seq=1 Ack=75 Win=68 Len=0,test_loic.csv,botnet_http
5,0.018418,185.188.41.131,192.168.1.192,TLSv1.2,165,Application Data,test_loic.csv,normal
6,0.020632,185.188.41.131,192.168.1.192,TLSv1.2,165,Application Data,test_loic.csv,normal
7,0.021381,185.188.41.131,192.168.1.192,TLSv1.2,482,Application Data,test_loic.csv,normal
8,0.042206,185.188.41.131,192.168.1.192,TLSv1.2,786,"Application Data, Application Data, Application Data",test_loic.csv,normal
9,0.043563,185.188.41.131,192.168.1.192,TLSv1.2,167,Application Data,test_loic.csv,normal
10,0.044882,192.168.1.192,185.188.41.131,TLSv1.2,128,Application Data,test_loic.csv,normal
11,0.059009,192.168.1.192,185.188.41.131,TCP,54,51200  >  64532 [ACK] Seq=1 Ack=259 Win=1024 Len=0,test_loic.csv,botnet_tcp
12,0.059011,192.168.1.192,185.188.41.131,TCP,54,51198  >  64532 [ACK] Seq=1 Ack=112 Win=1026 Len=0,test_loic.csv,botnet_tcp
13,0.074648,192.168.1.192,185.188.41.131,TCP,54,51194  >  64532 [ACK] Seq=1 Ack=112 Win=1024 Len=0,test_loic.csv,botnet_tcp
14,0.074648,192.168.1.192,185.188.41.131,TCP,54,51197  >  64532 [ACK] Seq=1 Ack=429 Win=1024 Len=0,test_loic.csv,botnet_tcp
15,0.084938,185.188.41.131,192.168.1.192,TLSv1.2,462,Application Data,test_loic.csv,normal
16,0.089854,192.168.1.192,185.188.41.131,TCP,54,51195  >  64532 [ACK] Seq=1 Ack=114 Win=1024 Len=0,test_loic.csv,botnet_tcp
17,0.090094,185.188.41.131,192.168.1.192,TCP,60,64532  >  51201 [ACK] Seq=733 Ack=75 Win=68 Len=0,test_loic.csv,botnet_http
18,0.102912,185.188.41.131,192.168.1.192,TLSv1.2,369,"Application Data, Application Data, Application Data, Application Data",test_loic.csv,normal
19,0.103141,192.168.1.192,185.188.41.131,TLSv1.2,92,Application Data,test_loic.csv,normal
20,0.105119,192.168.1.192,185.188.41.131,TLSv1.2,135,Application Data,test_loic.csv,normal
21,0.119514,185.188.41.131,192.168.1.192,TLSv1.2,168,"Application Data, Application Data",test_loic.csv,normal
22,0.122169,192.168.1.192,185.188.41.131,TLSv1.2,127,Application Data,test_loic.csv,normal
23,0.13218,185.188.41.131,192.168.1.192,TLSv1.2,488,Application Data,test_loic.csv,normal
24,0.136982,192.168.1.192,185.188.41.131,TCP,54,51152  >  64532 [ACK] Seq=1 Ack=409 Win=1022 Len=0,test_loic.csv,botnet_http
25,0.139958,185.188.41.131,192.168.1.192,TLSv1.2,299,"Application Data, Application Data",test_loic.csv,normal
26,0.143971,192.168.1.192,185.188.41.131,TLSv1.2,119,Application Data,test_loic.csv,normal
27,0.146927,185.188.41.131,192.168.1.192,TCP,60,64532  >  51200 [ACK] Seq=574 Ack=39 Win=68 Len=0,test_loic.csv,botnet_http
28,0.148944,185.188.41.131,192.168.1.192,TCP,60,64532  >  51200 [ACK] Seq=574 Ack=120 Win=68 Len=0,test_loic.csv,botnet_http
29,0.167076,185.188.41.131,192.168.1.192,TCP,60,64532  >  51197 [ACK] Seq=543 Ack=74 Win=68 Len=0,test_loic.csv,botnet_http
30,0.181541,185.188.41.131,192.168.1.192,TLSv1.2,92,Application Data,test_loic.csv,normal
